album_id,album_name,release_date,total_track,album_type,album_url
0VwLB6mtRWsd0Rd9XVGr1X,Breakthru,2005-09-01,10,album,https://open.spotify.com/album/0VwLB6mtRWsd0Rd9XVGr1X
2OSSCdpH41fvMp2NPenZ2U,Top Up,2007-01-01,12,album,https://open.spotify.com/album/2OSSCdpH41fvMp2NPenZ2U
2irA4FZKAdkCn7y6iceOhx,Rahasia Hati (New Version),2024-11-07,1,single,https://open.spotify.com/album/2irA4FZKAdkCn7y6iceOhx
2Vu9vlqebIXTxVSZiuxpyj,Tempat Aku Pulang,2014-05-15,14,album,https://open.spotify.com/album/2Vu9vlqebIXTxVSZiuxpyj
4ZK9i5BirBr33IfrKTGDRh,Konspirasi Alam Semesta,2015-10-29,14,album,https://open.spotify.com/album/4ZK9i5BirBr33IfrKTGDRh
3srKBIcoP2Q9VA1cDHARUh,"Pelukku Untuk Pelikmu (OST Imperfect: Karier, Cinta, & Timbangan)",2019-11-08,1,single,https://open.spotify.com/album/3srKBIcoP2Q9VA1cDHARUh
0dP6P5k4yXMPHeM5e7OMJf,Sederhanamu Istimewa (Cinta tak Seindah Drama Korea Original Motion Picture Soundtrack),2024-11-27,1,single,https://open.spotify.com/album/0dP6P5k4yXMPHeM5e7OMJf
5uAcLj2EJLtQtKMyDYCI0Q,MARKERS AND SUCH PENS FLASHDISKS,2024-04-30,15,album,https://open.spotify.com/album/5uAcLj2EJLtQtKMyDYCI0Q
6sGKwCYtM7MlRkVYFWbNQY,Mencintaimu,2023-10-27,1,single,https://open.spotify.com/album/6sGKwCYtM7MlRkVYFWbNQY
3K4VOWkpz4e8VlD411IwQU,Serta Mulia,2021-02-19,1,single,https://open.spotify.com/album/3K4VOWkpz4e8VlD411IwQU
7E0mCwP1eQ0zIfmz7MWlWj,Bulan Yang Baik,2021-04-23,1,single,https://open.spotify.com/album/7E0mCwP1eQ0zIfmz7MWlWj
3vTH8RPuIqcjnBA2T0cSC9,Lelaki Hebat,2008-01-01,10,album,https://open.spotify.com/album/3vTH8RPuIqcjnBA2T0cSC9
0PAFGgXB2GM6llY8ZfzoW5,Dunia Yang Indah,2010-01-01,10,album,https://open.spotify.com/album/0PAFGgXB2GM6llY8ZfzoW5
4oaTN12YTw4k2NrppmS4L6,5ang Juara,2013-06-01,12,album,https://open.spotify.com/album/4oaTN12YTw4k2NrppmS4L6
0KSNTwtBxciZY45S5s6hfG,Pantang Mundur,2015-01-01,12,album,https://open.spotify.com/album/0KSNTwtBxciZY45S5s6hfG
26FxxaKDiIGxEm549dRtaZ,Dunia Batas,2014-11-04,8,album,https://open.spotify.com/album/26FxxaKDiIGxEm549dRtaZ
1lp7ziYXZH8Z2r28FiUPWX,Ruang Tunggu,2017-12-19,9,album,https://open.spotify.com/album/1lp7ziYXZH8Z2r28FiUPWX
5GLQ5ReERUTZQwf7IYc5ci,Mendengar Suara,2018-08-03,10,album,https://open.spotify.com/album/5GLQ5ReERUTZQwf7IYc5ci
6jtK1s2zUdzNkYwYEiW6Od,Payung Teduh,2010-12-16,10,album,https://open.spotify.com/album/6jtK1s2zUdzNkYwYEiW6Od
0gPs6VwQ7ec7xXA40Ru7mF,Sumbang,1983-01-01,9,album,https://open.spotify.com/album/0gPs6VwQ7ec7xXA40Ru7mF
6blBsIftRO6U1epQBAVZh4,Mata Dewa,1989-01-01,10,album,https://open.spotify.com/album/6blBsIftRO6U1epQBAVZh4
2rMvP1W18rqZCiTCAKArVu,Ethiopia,1986-01-01,10,album,https://open.spotify.com/album/2rMvP1W18rqZCiTCAKArVu
1UoTGWwXM8Gg3iHfBmiVWH,Opini,1982-01-01,9,album,https://open.spotify.com/album/1UoTGWwXM8Gg3iHfBmiVWH
6jc3YRzhLCcHwMcxLwSsgE,Sore Tugu Pancoran,1985-01-01,10,album,https://open.spotify.com/album/6jc3YRzhLCcHwMcxLwSsgE
